"","eigen.corr_matrix..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",15.3123769531268,15.3123769531268,0.478511779785214,0.478511779785214
"2",2.65922414186335,17.9716010949902,0.0831007544332298,0.561612534218443
"3",2.36154656130193,20.3331476562921,0.0737983300406854,0.635410864259129
"4",1.78979517153485,22.122942827827,0.0559310991104641,0.691341963369593
"5",1.28523355809762,23.4081763859246,0.0401635486905505,0.731505512060143
"6",1.11253307348879,24.5207094594134,0.0347666585465246,0.766272170606668
"7",1.03196529610514,25.5526747555185,0.0322489155032855,0.798521086109953
"8",0.978877389648819,26.5315521451673,0.0305899184265256,0.829111004536479
"9",0.942695473500224,27.4742476186675,0.029459233546882,0.858570238083361
"10",0.853434740880684,28.3276823595482,0.0266698356525214,0.885240073735882
"11",0.691881319099157,29.0195636786474,0.0216212912218487,0.906861364957731
"12",0.65989619354807,29.6794598721955,0.0206217560483772,0.927483121006108
"13",0.523555128204514,30.2030150004,0.0163610977563911,0.943844218762499
"14",0.36110739185142,30.5641223922514,0.0112846059953569,0.955128824757856
"15",0.306296652598488,30.8704190448499,0.00957177039370276,0.964700595151559
"16",0.197647890577061,31.0680669354269,0.00617649658053315,0.970877091732092
"17",0.170772508538412,31.2388394439653,0.00533664089182537,0.976213732623918
"18",0.162488474407729,31.4013279183731,0.00507776482524153,0.981291497449159
"19",0.138512123975137,31.5398400423482,0.00432850387422303,0.985620001323382
"20",0.0920676041481669,31.6319076464964,0.00287711262963022,0.988497113953012
"21",0.0831749159812644,31.7150825624776,0.00259921612441451,0.991096330077427
"22",0.0743371130571576,31.7894196755348,0.00232303478303618,0.993419364860463
"23",0.0659454300660982,31.8553651056009,0.00206079468956557,0.995480159550029
"24",0.0535215563645448,31.9088866619654,0.00167254863639203,0.997152708186421
"25",0.0361282017993796,31.9450148637648,0.00112900630623061,0.998281714492651
"26",0.0187653913102158,31.963780255075,0.000586418478444244,0.998868132971096
"27",0.0114238791564195,31.9752041342315,0.000356996223638108,0.999225129194734
"28",0.00906467339076742,31.9842688076222,0.000283271043461482,0.999508400238195
"29",0.00565097464732489,31.9899197822695,0.000176592957728903,0.999684993195924
"30",0.00480452618478924,31.9947243084543,0.000150141443274664,0.999835134639199
"31",0.00267281122020028,31.9973971196745,8.35253506312587e-05,0.99991865998983
"32",0.002602880325442,32,8.13400101700625e-05,1
